Cloud Altitude,Release Mass,Cloud Age,Diffusion Coefficient,Transmitter Frequency,Transmitter Power,Transmitter Gain,Receiver Gain,Distance,Windspeed,Solar Angle,Kp Index,Cloud Radius,Electron Density,Critical Frequency,Received Power,Signal to Noise Ratio,Delay Spread,Doppler Shift,Bit Error Rate
118,0.019681776,2018.286779,1.936350297,164910965.8,75.69984799,1.385562589,9.572168526,628922.9994,14.94560206,29.69391653,7.625129199,125.0297597,1.08903E+14,93920961121,-49.76355014,50.23644986,0.416765866,8.215645568,0
147,0.023671783,1798.392408,3.376785766,231621628.6,26.6060796,0.911305944,6.889386803,86958.29437,4.740888758,73.50645772,4.450653393,155.856163,6.762E+13,74008226237,-87.77921912,12.22078088,0.519520543,3.660307917,3.85E-09
136,0.04272737,952.0549736,2.829984855,181920030.8,41.19757249,9.062879261,14.46747787,631647.3238,6.317961249,89.49391349,1.759190496,103.8133162,4.13012E+14,1.82904E+11,-72.583363,27.416637,0.346044387,3.831212349,3.17E-242
129,0.017000219,3279.632752,2.49664621,52491697.44,69.69525732,14.49174484,3.284676765,135185.1764,9.033556409,75.6685384,6.629776079,180.9760501,3.10175E+13,50124041899,-25.65290386,74.34709614,0.6032535,1.580622366,0
107,0.043482484,2574.293843,1.390046601,80106663.93,53.38804101,7.540819634,8.81784624,724827.0266,10.18266672,31.15286338,3.768103221,119.6392646,2.74605E+14,1.49141E+11,-61.6355426,38.3644574,0.398797549,2.718998202,0
107,0.004406722,4674.919658,1.389986301,89218609.69,76.47139348,0.772728389,10.50315022,420573.7643,12.11309046,64.01271541,5.351647351,161.2212676,1.13727E+13,30351124622,-39.84286948,60.15713052,0.537404225,3.602376966,0
102,0.038839922,174.359625,1.14520903,99623348.48,96.50871111,3.318279841,12.38346734,845811.667,12.77300145,48.05311023,0.965387612,28.2615086,1.86E+16,1.22771E+12,-22.40642683,77.59357317,0.094205029,4.241630582,0
143,0.042377382,3477.242941,3.165440364,182658915.8,20.48920189,3.671893596,6.104565456,945402.783,22.78581727,70.78660055,5.684255906,209.8285506,4.96085E+13,63389987955,-110.5836831,-10.58368309,0.699428502,13.87344227,0.337919168
130,0.009090883,4120.160995,2.502787529,166070760.6,73.86109448,5.067856937,10.30382861,446254.8244,25.47865954,13.77876552,3.361954401,203.0949291,1.17361E+13,30832226384,-44.26893095,55.73106905,0.676983097,14.10420123,0
135,0.021517327,4101.467987,2.770181444,84853210.36,30.73097401,0.654050754,4.548022071,487527.5307,15.44396041,57.43211334,3.007707747,213.1835877,2.40183E+13,44107656790,-92.50449064,7.495509362,0.710611959,4.36823207,0.000401302
